Artist and Title,Streams,Daily,Artist,Song
J. Cole - No Role Modelz,2381663683,1089519,J. Cole,No Role Modelz
Sam Smith - Stay With Me,2161497773,776869,Sam Smith,Stay With Me
Mark Ronson - Uptown Funk,2096768252,1014146,Mark Ronson,Uptown Funk
Sam Smith - I'm Not The Only One,1996811989,921665,Sam Smith,I'm Not The Only One
Taylor Swift - Blank Space,1932236409,786254,Taylor Swift,Blank Space
Maroon 5 - Sugar,1925781970,648262,Maroon 5,Sugar
Avicii - The Nights,1912689330,863076,Avicii,The Nights
WALK THE MOON - Shut Up and Dance,1857409342,1089147,WALK THE MOON,Shut Up and Dance
Sia - Chandelier,1838714680,848935,Sia,Chandelier
Maroon 5 - Maps,1837271417,1284385,Maroon 5,Maps
One Direction - Night Changes,1782634614,4433087,One Direction,Night Changes
The Weeknd - Earned It (Fifty Shades Of Grey),1756234565,717793,The Weeknd,Earned It (Fifty Shades Of Grey)
Coldplay - A Sky Full of Stars,1686215029,1450788,Coldplay,A Sky Full of Stars
The Walters - I Love You So,1641487906,1887531,The Walters,I Love You So
Calvin Harris - Summer,1639636315,746041,Calvin Harris,Summer
Ariana Grande - One Last Time,1577215962,932998,Ariana Grande,One Last Time
Taylor Swift - Shake It Off,1499746540,615540,Taylor Swift,Shake It Off
Maroon 5 - Animals,1465928360,819056,Maroon 5,Animals
Pharrell Williams - Happy,1450272694,553005,Pharrell Williams,Happy
Pitbull - Time of Our Lives,1416513660,825870,Pitbull,Time of Our Lives
Clean Bandit - Rather Be,1404005802,495281,Clean Bandit,Rather Be
Jessie J - Bang Bang,1399642857,595555,Jessie J,Bang Bang
J. Cole - Wet Dreamz,1317638787,548269,J. Cole,Wet Dreamz
Taylor Swift - Style,1292108696,487416,Taylor Swift,Style
Calvin Harris - Outside,1270706236,947652,Calvin Harris,Outside
James Bay - Let It Go,1235507136,342294,James Bay,Let It Go
Lost Frequencies - Are You With Me,1148228138,556603,Lost Frequencies,Are You With Me
Lilly Wood and The Prick - Prayer In C,1133129517,431359,Lilly Wood and The Prick,Prayer In C
TV Girl - Lovers Rock,1079551784,1424696,TV Girl,Lovers Rock
Ariana Grande - Santa Tell Me,1062254115,225371,Ariana Grande,Santa Tell Me
American Authors - Best Day Of My Life,1059910571,464282,American Authors,Best Day Of My Life
Mr. Probz - Waves,1044860037,294268,Mr. Probz,Waves
Nico & Vinz - Am I Wrong,1019137267,307408,Nico & Vinz,Am I Wrong
Ty Dolla $ign - Or Nah,1014243634,545543,Ty Dolla $ign,Or Nah
Calvin Harris - Blame,1010920830,583528,Calvin Harris,Blame
Taylor Swift - Wildest Dreams,1008153124,331769,Taylor Swift,Wildest Dreams
Sia - Elastic Heart,984682615,656084,Sia,Elastic Heart
Ariana Grande - Love Me Harder,983959417,519881,Ariana Grande,Love Me Harder
Tove Lo - Habits (Stay High),982577606,506027,Tove Lo,Habits (Stay High)
AURORA - Runaway,949898350,494261,AURORA,Runaway
Ariana Grande - Break Free,944474465,371874,Ariana Grande,Break Free
Galantis - Runaway (U & I),939664492,298272,Galantis,Runaway (U & I)
Ariana Grande - Problem,904090308,351230,Ariana Grande,Problem
Aaron Smith - Dancin,902694876,303289,Aaron Smith,Dancin
Mr.Kitty - After Dark,899036490,433872,Mr.Kitty,After Dark
Enrique Iglesias - Bailando,898864635,368399,Enrique Iglesias,Bailando
One Direction - Steal My Girl,891508533,1453693,One Direction,Steal My Girl
Sam Smith - Like I Can,875242977,259178,Sam Smith,Like I Can
David Guetta - Hey Mama,869462921,236619,David Guetta,Hey Mama
Becky G - Shower,858387666,305567,Becky G,Shower
Meghan Trainor - All About That Bass,849743470,222280,Meghan Trainor,All About That Bass
Fifth Harmony - Worth It,842106387,224297,Fifth Harmony,Worth It
Lana Del Rey - West Coast,835915305,765141,Lana Del Rey,West Coast
Paloma Faith - Only Love Can Hurt Like This,813209282,495467,Paloma Faith,Only Love Can Hurt Like This
Mac DeMarco - Chamber Of Reflection,800907916,620898,Mac DeMarco,Chamber Of Reflection
Rixton - Me And My Broken Heart,770194674,329183,Rixton,Me And My Broken Heart
James Bay - Hold Back The River,760419622,292067,James Bay,Hold Back The River
Lana Del Rey - Brooklyn Baby,750482774,688852,Lana Del Rey,Brooklyn Baby
Iggy Azalea - Fancy,750432548,268388,Iggy Azalea,Fancy
Flo Rida - GDFR,740489441,161782,Flo Rida,GDFR
5 Seconds of Summer - She Looks So Perfect,732393082,318778,5 Seconds of Summer,She Looks So Perfect
Coldplay - Magic,725053569,215147,Coldplay,Magic
Alesso - Heroes (we could be),719583869,191744,Alesso,Heroes (we could be)
One Direction - 18,717830118,945564,One Direction,18
Ozzy Osbourne - Crazy Train,714610569,323039,Ozzy Osbourne,Crazy Train
