Artist and Title,Streams,Daily,Artist,Song
Duncan Laurence - Arcade,1258445592,611102,Duncan Laurence,Arcade
Doja Cat - Say So,1235041200,262171,Doja Cat,Say So
Anuel AA - China,1220436197,272541,Anuel AA,China
BTS - Boy With Luv (Feat. Halsey),1203893320,324302,BTS,Boy With Luv (Feat. Halsey)
JP Saxe - If the World Was Ending,1201076813,434814,JP Saxe,If the World Was Ending
Ali Gatie - It's You,1166388506,301831,Ali Gatie,It's You
Topic - Breaking Me,1155000498,224347,Topic,Breaking Me
Doja Cat - Streets,1140817881,857660,Doja Cat,Streets
Pop Smoke - Dior,1120043224,398690,Pop Smoke,Dior
"Dan + Shay - 10,000 Hours",1095011307,260023,Dan + Shay,"10,000 Hours"
Chris Brown - No Guidance,1073035362,322360,Chris Brown,No Guidance
"Tyler, The Creator - EARFQUAKE",1051543263,1048556,"Tyler, The Creator",EARFQUAKE
Nicky Jam - X,1048147316,454501,Nicky Jam,X
Shawn Mendes - If I Can't Have You,1046758277,231315,Shawn Mendes,If I Can't Have You
Mabel - Don't Call Me Up,1042677526,223925,Mabel,Don't Call Me Up
Billie Eilish - bury a friend,1042351162,267269,Billie Eilish,bury a friend
Lil Nas X - Old Town Road,1035554556,205357,Lil Nas X,Old Town Road
Bad Bunny - Vete,1023292491,236808,Bad Bunny,Vete
MEDUZA - Piece Of Your Heart,1021091853,190509,MEDUZA,Piece Of Your Heart
Drake - Money In The Grave (Drake ft. Rick Ross),1001845870,253515,Drake,Money In The Grave (Drake ft. Rick Ross)
Billie Eilish - i love you,999171453,775681,Billie Eilish,i love you
Lunay - Soltera (Remix),996058964,298459,Lunay,Soltera (Remix)
Kygo - Higher Love,995205235,441609,Kygo,Higher Love
Sam Smith - How Do You Sleep?,994888421,180365,Sam Smith,How Do You Sleep?
Taylor Swift - You Need To Calm Down,992917856,366991,Taylor Swift,You Need To Calm Down
Khalid - Talk,990982079,147488,Khalid,Talk
Y2K - Lalala,988462741,139800,Y2K,Lalala
Surfaces - Sunday Best,986252801,225751,Surfaces,Sunday Best
Black Eyed Peas - RITMO (Bad Boys For Life),984298431,157354,Black Eyed Peas,RITMO (Bad Boys For Life)
Gesaffelstein - Lost in the Fire,974769494,815686,Gesaffelstein,Lost in the Fire
Dhruv - double take,961120098,1293799,Dhruv,double take
MEDUZA - Lose Control,961027134,237343,MEDUZA,Lose Control
Juice WRLD - Bandit,957114372,227773,Juice WRLD,Bandit
Surf Mesa - ily (i love you baby),944036387,225763,Surf Mesa,ily (i love you baby)
Harry Styles - Golden,941926480,246493,Harry Styles,Golden
Mustard - Ballin',938511396,244630,Mustard,Ballin'
Eyedress - Jealous,920909708,1113388,Eyedress,Jealous
Wallows - Are You Bored Yet?,918187409,647223,Wallows,Are You Bored Yet?
Labrinth - Formula,909935665,464091,Labrinth,Formula
New West - Those Eyes,903346550,993394,New West,Those Eyes
Billie Eilish - you should see me in a crown,900543372,361733,Billie Eilish,you should see me in a crown
CKay - love nwantiti (ah ah ah),895599007,302429,CKay,love nwantiti (ah ah ah)
Taylor Swift - ME!,890781235,203255,Taylor Swift,ME!
Polo G - Pop Out,889500433,257701,Polo G,Pop Out
BLACKPINK - Kill This Love,861707489,253767,BLACKPINK,Kill This Love
Ariana Grande - boyfriend,858663535,428917,Ariana Grande,boyfriend
J Balvin - QUE PRETENDES,851136011,328643,J Balvin,QUE PRETENDES
DJ Snake - Loco Contigo,848876202,177847,DJ Snake,Loco Contigo
DaBaby - BOP,843626631,207178,DaBaby,BOP
Olivia Rodrigo - All I Want,840556923,545517,Olivia Rodrigo,All I Want
Taylor Swift - The Man,837664161,524498,Taylor Swift,The Man
Ashe - Moral of the Story,836191236,591742,Ashe,Moral of the Story
Lewis Capaldi - Hold Me While You Wait,836101409,325504,Lewis Capaldi,Hold Me While You Wait
Billie Eilish - wish you were gay,813463265,239885,Billie Eilish,wish you were gay
Ellie Goulding - Hate Me,796733979,367299,Ellie Goulding,Hate Me
Paulo Londra - Tal Vez,793343207,305377,Paulo Londra,Tal Vez
ROSALÍA - Con Altura,793131291,134402,ROSALÍA,Con Altura
Clairo - Sofia,790665099,531094,Clairo,Sofia
Anuel AA - Secreto,787163146,184417,Anuel AA,Secreto
Ed Sheeran - South of the Border,786694167,162697,Ed Sheeran,South of the Border
Avicii - SOS,783254541,132855,Avicii,SOS
Sub Urban - Cradles,776698877,308729,Sub Urban,Cradles
Julia Michaels - What A Time,775744094,348917,Julia Michaels,What A Time
Lil Tjay - F.N,762696549,279213,Lil Tjay,F.N
Lil Nas X - Panini,755088462,95668,Lil Nas X,Panini
Mustard - Pure Water,749626453,202596,Mustard,Pure Water
Tainy - Adicto,748886872,298573,Tainy,Adicto
Young Thug - The London,748798344,134482,Young Thug,The London
JACKBOYS - OUT WEST,747013957,293343,JACKBOYS,OUT WEST
Yot Club - YKWIM?,746532639,479243,Yot Club,YKWIM?
Maluma - 11 PM,746219306,148400,Maluma,11 PM
Dalex - Hola,742930897,300839,Dalex,Hola
Lana Del Rey - Doin' Time,742352550,412360,Lana Del Rey,Doin' Time
Dalex - Pa Mí,737869758,164734,Dalex,Pa Mí
5 Seconds of Summer - Teeth,735210805,496647,5 Seconds of Summer,Teeth
Reik - Me Niego,733574075,166291,Reik,Me Niego
Camila Cabello - My Oh My,731937340,224444,Camila Cabello,My Oh My
Baby Keem - ORANGE SODA,729116927,429790,Baby Keem,ORANGE SODA
Alan Walker - On My Way,721173934,336578,Alan Walker,On My Way
Rels B - A Mí,715476156,623666,Rels B,A Mí
Sech - Otro Trago,704979192,93776,Sech,Otro Trago
Katy Perry - Never Really Over,704370691,93275,Katy Perry,Never Really Over
Labrinth - Still Don't Know My Name,704137678,209019,Labrinth,Still Don't Know My Name
Marshmello - Here With Me,699882643,186435,Marshmello,Here With Me
Taylor Swift - Paper Rings,694141653,318421,Taylor Swift,Paper Rings
Harry Styles - Lights Up,693578706,132560,Harry Styles,Lights Up
R3HAB - All Around The World (La La La),691042968,276899,R3HAB,All Around The World (La La La)
Calvin Harris - Giant,686792322,116384,Calvin Harris,Giant
Rauw Alejandro - Fantasias,685897916,178084,Rauw Alejandro,Fantasias
"Tyler, The Creator - NEW MAGIC WAND",680429419,962118,"Tyler, The Creator",NEW MAGIC WAND
Labrinth - Mount Everest,677102298,566092,Labrinth,Mount Everest
James Arthur - Car's Outside,674828425,638986,James Arthur,Car's Outside
Martin Garrix - Summer Days,670454772,124561,Martin Garrix,Summer Days
Billie Eilish - all the good girls go to hell,666055206,235431,Billie Eilish,all the good girls go to hell
Ghost - Mary On A Cross,660897807,572803,Ghost,Mary On A Cross
DaBaby - Suge,658560949,83501,DaBaby,Suge
Post Malone - Take What You Want,655761395,246711,Post Malone,Take What You Want
Joji - Sanctuary,653834824,385009,Joji,Sanctuary
Zach Bryan - Heading South,652253934,919347,Zach Bryan,Heading South
Sam Fischer - This City,652178487,148919,Sam Fischer,This City
"Alan Walker - Alone, Pt. II",646772877,308796,Alan Walker,"Alone, Pt. II"
The Chainsmokers - Takeaway,644696148,110732,The Chainsmokers,Takeaway
OneRepublic - Rescue Me,643192594,187288,OneRepublic,Rescue Me
Rauw Alejandro - El Efecto,642245621,427349,Rauw Alejandro,El Efecto
Dayglow - Can I Call You Tonight?,634391524,265270,Dayglow,Can I Call You Tonight?
Luke Combs - Beer Never Broke My Heart,629479183,422933,Luke Combs,Beer Never Broke My Heart
Maluma - HP,627154004,87092,Maluma,HP
NF - The Search,623153249,294627,NF,The Search
YOASOBI - 夜に駆ける,622684375,261176,YOASOBI,夜に駆ける
Lana Del Rey - Cinnamon Girl,621855186,834744,Lana Del Rey,Cinnamon Girl
The Chainsmokers - Call You Mine,621774949,81290,The Chainsmokers,Call You Mine
Sasha Alex Sloan - Dancing With Your Ghost,618720499,347440,Sasha Alex Sloan,Dancing With Your Ghost
Camila Cabello - Shameless,612959605,821842,Camila Cabello,Shameless
Camilo - Tutu,611670069,130679,Camilo,Tutu
Kehlani - Nights Like This,609826287,191049,Kehlani,Nights Like This
Bazzi - Paradise,608419075,177085,Bazzi,Paradise
Bazzi - I.F.L.Y.,607259100,175874,Bazzi,I.F.L.Y.
J Balvin - UN PESO,605057288,354040,J Balvin,UN PESO
Cardi B - Please Me,598680040,427997,Cardi B,Please Me
Liana Flores - rises the moon,597971031,770607,Liana Flores,rises the moon
Arcángel - Sigues Con El,597054347,117083,Arcángel,Sigues Con El
Sebastian Yatra - Un Año,596786919,182482,Sebastian Yatra,Un Año
Sia - Genius,596615834,239549,Sia,Genius
YNW Melly - Suicidal,596598344,222854,YNW Melly,Suicidal
Sam Feldt - Post Malone,595760841,92226,Sam Feldt,Post Malone
"ROSALÍA - Yo x Ti, Tu x Mi",594075893,143245,ROSALÍA,"Yo x Ti, Tu x Mi"
Ava Max - So Am I,590737869,114720,Ava Max,So Am I
Mac DeMarco - Heart To Heart,587338062,838772,Mac DeMarco,Heart To Heart
Post Malone - Hollywood's Bleeding,585963379,195336,Post Malone,Hollywood's Bleeding
Lil Tecca - Love Me,584434826,312195,Lil Tecca,Love Me
Jeremy Zucker - you were good to me,584340134,153399,Jeremy Zucker,you were good to me
Billie Eilish - listen before i go,581614908,265536,Billie Eilish,listen before i go
PUBLIC - Make You Mine,580907532,176537,PUBLIC,Make You Mine
Dave - Location,575337469,247704,Dave,Location
Labrinth - All For Us,574971558,412715,Labrinth,All For Us
Sia - Thunderclouds,571152679,98751,Sia,Thunderclouds
Christian Nodal - De Los Besos Que Te Di,570164329,321268,Christian Nodal,De Los Besos Que Te Di
Marshmello - One Thing Right,569858841,303102,Marshmello,One Thing Right
DJ Luian - Verte Ir,567416959,133478,DJ Luian,Verte Ir
Sech - Otro Trago,567357962,93533,Sech,Otro Trago
Kaash Paige - Love Songs,564440160,792809,Kaash Paige,Love Songs
NLE Choppa - Camelot,564054262,313061,NLE Choppa,Camelot
Andy Grammer - Don't Give Up On Me,557043870,451807,Andy Grammer,Don't Give Up On Me
Nicky Jam - Te Robaré,556968222,58794,Nicky Jam,Te Robaré
Katy Perry - Harleys In Hawaii,555723902,299837,Katy Perry,Harleys In Hawaii
Roddy Ricch - High Fashion,554219983,99543,Roddy Ricch,High Fashion
The Chainsmokers - Who Do You Love,553556451,78850,The Chainsmokers,Who Do You Love
Juice WRLD - Let Me Know (I Wonder Why Freestyle),549982922,390353,Juice WRLD,Let Me Know (I Wonder Why Freestyle)
SHAED - Trampoline,548356158,166705,SHAED,Trampoline
Quality Control - Baby (Lil Baby feat. DaBaby),547011534,260462,Quality Control,Baby (Lil Baby feat. DaBaby)
Lizzo - Juice,543782008,77417,Lizzo,Juice
James Arthur - Falling Like The Stars,542893191,148091,James Arthur,Falling Like The Stars
Myke Towers - Si Se Da,541677479,209754,Myke Towers,Si Se Da
Logic - Homicide,540842631,112273,Logic,Homicide
Harry Styles - Fine Line,538939977,411278,Harry Styles,Fine Line
Billie Eilish - my strange addiction,535619026,240133,Billie Eilish,my strange addiction
Clairo - Bubble Gum,531864367,310274,Clairo,Bubble Gum
Doja Cat - Like That,530144765,140503,Doja Cat,Like That
Calibre 50 - Si Te Pudiera Mentir,529072554,241576,Calibre 50,Si Te Pudiera Mentir
Jonas Brothers - Only Human,524219850,139177,Jonas Brothers,Only Human
BROCKHAMPTON - SUGAR,521047354,102594,BROCKHAMPTON,SUGAR
"Tyler, The Creator - ARE WE STILL FRIENDS?",520863248,725547,"Tyler, The Creator",ARE WE STILL FRIENDS?
Reik - Amigos Con Derechos,520412743,127193,Reik,Amigos Con Derechos
NLE Choppa - Shotta Flow,520148101,175139,NLE Choppa,Shotta Flow
mgk - I Think I'm OKAY,508359769,132611,mgk,I Think I'm OKAY
Old Dominion - One Man Band,505898248,487381,Old Dominion,One Man Band
YNW Melly - 223's,502312145,164450,YNW Melly,223's
Rex Orange County - Pluto Projector,500350236,262592,Rex Orange County,Pluto Projector
TWICE - FANCY,499232049,199678,TWICE,FANCY
Rammstein - Deutschland,498918040,276939,Rammstein,Deutschland
Camila Cabello - Liar,497524331,63801,Camila Cabello,Liar
Lauv - lonely,494998508,59537,Lauv,lonely
NIKI - lowkey,491828596,298517,NIKI,lowkey
Ozuna - Baila Baila Baila,491059066,143464,Ozuna,Baila Baila Baila
Lil Uzi Vert - Sanguine Paradise,490220695,85350,Lil Uzi Vert,Sanguine Paradise
Pamungkas - To the Bone,488810607,375258,Pamungkas,To the Bone
Red Velvet - Psycho,488527887,135905,Red Velvet,Psycho
Baby Keem - HONEST,488269591,355251,Baby Keem,HONEST
Summer Walker - Playing Games,486749163,335185,Summer Walker,Playing Games
Morgan Wallen - Cover Me Up,485439563,199516,Morgan Wallen,Cover Me Up
H.E.R. - Could've Been,483798366,317397,H.E.R.,Could've Been
Frank Ocean - In My Room,479902584,268348,Frank Ocean,In My Room
Billie Eilish - xanny,477758761,135554,Billie Eilish,xanny
Maren Morris - The Bones,471643844,71595,Maren Morris,The Bones
Post Malone - Saint-Tropez,471257124,72008,Post Malone,Saint-Tropez
Rich Music LTD - Quizas,471159358,126340,Rich Music LTD,Quizas
Hozier - Almost (Sweet Music),470781477,371774,Hozier,Almost (Sweet Music)
Natanael Cano - Amor Tumbado,470680873,403847,Natanael Cano,Amor Tumbado
Lil Tecca - Did It Again,467468996,210618,Lil Tecca,Did It Again
24kGoldn - VALENTINO,467406775,101705,24kGoldn,VALENTINO
Post Malone - Enemies,461532717,58611,Post Malone,Enemies
Carin Leon - Me la Avente,458919559,158059,Carin Leon,Me la Avente
Young Thug - Hot (Remix) [feat. Gunna and Travis Scott],456667904,203439,Young Thug,Hot (Remix) [feat. Gunna and Travis Scott]
LiSA - 紅蓮華,456368333,187192,LiSA,紅蓮華
Sech - Que Mas Pues,452912328,102352,Sech,Que Mas Pues
Billie Eilish - ilomilo,451655373,230682,Billie Eilish,ilomilo
Taylor Swift - Daylight,451604048,443280,Taylor Swift,Daylight
Lil Tecca - Ransom,451055838,224402,Lil Tecca,Ransom
Lil Tjay - Sex Sounds,448839504,307792,Lil Tjay,Sex Sounds
"Tyler, The Creator - GONE, GONE / THANK YOU",444147524,471620,"Tyler, The Creator","GONE, GONE / THANK YOU"
Tiësto - Ritual,443996088,87077,Tiësto,Ritual
Kanye West - Follow God,441050079,263852,Kanye West,Follow God
Dean Lewis - Half A Man,439779661,257462,Dean Lewis,Half A Man
DaBaby - VIBEZ,439341724,57003,DaBaby,VIBEZ
Lenin Ramírez - Yo Ya No Vuelvo Contigo,437983940,145617,Lenin Ramírez,Yo Ya No Vuelvo Contigo
P!nk - Walk Me Home,437557534,62552,P!nk,Walk Me Home
Doja Cat - Rules,436776517,164572,Doja Cat,Rules
Taylor Swift - The Archer,435401983,255292,Taylor Swift,The Archer
Lil Baby - Woah,434970882,117133,Lil Baby,Woah
YoungBoy Never Broke Again - Make No Sense,434843786,292622,YoungBoy Never Broke Again,Make No Sense
JACKBOYS - GATTI,434622996,144985,JACKBOYS,GATTI
Junior H - Ella,433199930,220316,Junior H,Ella
Tyler Childers - All Your'n,432768528,396638,Tyler Childers,All Your'n
YNW Melly - Mixed Personalities,432637292,79312,YNW Melly,Mixed Personalities
Lil Mosey - Stuck In A Dream,430801570,75598,Lil Mosey,Stuck In A Dream
Dalex - Cuaderno,429032407,128568,Dalex,Cuaderno
Taylor Swift - Miss Americana & The Heartbreak Prince,428267731,323762,Taylor Swift,Miss Americana & The Heartbreak Prince
Dermot Kennedy - Power Over Me,427911153,183983,Dermot Kennedy,Power Over Me
Drake - Trust Issues,427264340,345210,Drake,Trust Issues
Lil Peep - white tee,426735834,323363,Lil Peep,white tee
Tyga - Ayy Macarena,426666570,65221,Tyga,Ayy Macarena
Haze - Piensan,426095768,376488,Haze,Piensan
Apache 207 - Roller,425378359,87918,Apache 207,Roller
Cafuné - Tek It,420650690,877397,Cafuné,Tek It
Charlie Puth - Cheating on You,419721045,178503,Charlie Puth,Cheating on You
Kevin Kaarl - Vámonos a Marte,419705378,231063,Kevin Kaarl,Vámonos a Marte
Aaron May - Let Go,419316857,372180,Aaron May,Let Go
Feid - PORFA,418428412,173655,Feid,PORFA
Natalie Taylor - Surrender,418388029,97472,Natalie Taylor,Surrender
Giveon - Like I Want You,417885256,296491,Giveon,Like I Want You
"Arijit Singh - Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",416676574,648364,Arijit Singh,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")"
24kGoldn - CITY OF ANGELS,416674524,75176,24kGoldn,CITY OF ANGELS
Saweetie - My Type,416310934,204303,Saweetie,My Type
Vierre Cloud - moment,415988396,219511,Vierre Cloud,moment
Lil Skies - I,415937490,67271,Lil Skies,I
Gabby Barrett - I Hope,415124184,112644,Gabby Barrett,I Hope
Riton - Turn Me On,411780540,100643,Riton,Turn Me On
Taylor Swift - Afterglow,410622359,218699,Taylor Swift,Afterglow
Kevin Kaarl - San Lucas,408243081,275991,Kevin Kaarl,San Lucas
Florida Georgia Line - Simple,407303628,113460,Florida Georgia Line,Simple
Ed Sheeran - Cross Me,401509983,40277,Ed Sheeran,Cross Me
Young Thug - Hot,400123987,85417,Young Thug,Hot
Ava Max - Salt,399174627,144318,Ava Max,Salt
Tones And I - Never Seen the Rain,398397445,44699,Tones And I,Never Seen the Rain
KEVIN ROLDAN - HASTA ABAJO,396344145,161936,KEVIN ROLDAN,HASTA ABAJO
Reik - Indeciso,396295310,93605,Reik,Indeciso
Taylor Swift - All Of The Girls You Loved Before,393678988,219195,Taylor Swift,All Of The Girls You Loved Before
Bruno Major - Nothing,393639028,247579,Bruno Major,Nothing
Blake Shelton - God's Country,388900865,132905,Blake Shelton,God's Country
Joyner Lucas - Isis,388308900,79114,Joyner Lucas,Isis
Alex Rose - Jangueo,387700783,70973,Alex Rose,Jangueo
Falling In Reverse - Popular Monster,387182681,261845,Falling In Reverse,Popular Monster
Eladio Carrion - Kemba Walker,386248299,159723,Eladio Carrion,Kemba Walker
Luke Combs - Better Together,386234413,250400,Luke Combs,Better Together
Normani - Motivation,385417657,65941,Normani,Motivation
MEDUZA - Piece Of Your Heart,385224704,138939,MEDUZA,Piece Of Your Heart
iann dior - emotions,384776169,88232,iann dior,emotions
Ariana Grande - Don’t Call Me Angel (Charlie’s Angels),383860824,105445,Ariana Grande,Don’t Call Me Angel (Charlie’s Angels)
Daddy Yankee - Que Tire Pa Lante,382331356,47954,Daddy Yankee,Que Tire Pa Lante
Billie Eilish - bad guy,377528649,42121,Billie Eilish,bad guy
TWICE - Feel Special,377316433,143676,TWICE,Feel Special
Peach Tree Rascals - Mariposa,376086729,97906,Peach Tree Rascals,Mariposa
Endor - Pump It Up,375984596,303595,Endor,Pump It Up
Doja Cat - Juicy,375948842,95942,Doja Cat,Juicy
Kevin Kaarl - Colapso,375101650,198416,Kevin Kaarl,Colapso
Trippie Redd - The Grinch,373790175,150662,Trippie Redd,The Grinch
Henrique & Juliano - Liberdade Provisória,373665173,239736,Henrique & Juliano,Liberdade Provisória
Sean Paul - Contra La Pared,372968778,57311,Sean Paul,Contra La Pared
Stormzy - Vossi Bop,372580031,78464,Stormzy,Vossi Bop
NF - When I Grow Up,371808596,147785,NF,When I Grow Up
Los Ángeles Azules - Amor A Primera Vista,368892686,137991,Los Ángeles Azules,Amor A Primera Vista
Dreamville - Under The Sun,368416665,160251,Dreamville,Under The Sun
benny blanco - Graduation,367237948,72240,benny blanco,Graduation
Aya Nakamura - Djadja,366098333,38751,Aya Nakamura,Djadja
"Vishal Mishra - Kaise Hua (From ""Kabir Singh"")",366053040,346060,Vishal Mishra,"Kaise Hua (From ""Kabir Singh"")"
Polo G - Through Da Storm,364438939,109747,Polo G,Through Da Storm
iKON - LOVE SCENARIO,364437581,104563,iKON,LOVE SCENARIO
Clairo - Bags,362876145,507394,Clairo,Bags
Stormzy - Own It,361669390,78964,Stormzy,Own It
Danna Paola - Mala Fama,360663525,135644,Danna Paola,Mala Fama
Taylor Swift - Cornelia Street,359432075,198388,Taylor Swift,Cornelia Street
Miley Cyrus - Slide Away,359151443,65846,Miley Cyrus,Slide Away
Santa Fe Klan - Debo Entender,358989217,145735,Santa Fe Klan,Debo Entender
NATTI NATASHA - La Mejor Versión de Mi,358650707,152311,NATTI NATASHA,La Mejor Versión de Mi
Lana Del Rey - Happiness is a butterfly,358409150,231750,Lana Del Rey,Happiness is a butterfly
DaBaby - TOES,357909873,63794,DaBaby,TOES
Blanco Brown - The Git Up,357243231,72595,Blanco Brown,The Git Up
Cafuné - Tek It,357208372,373390,Cafuné,Tek It
Beéle - Loco,357155628,493412,Beéle,Loco
Taylor Swift - London Boy,356965935,174243,Taylor Swift,London Boy
Harry Styles - Cherry,356230914,132933,Harry Styles,Cherry
XXXTENTACION - bad vibes forever,356190759,393961,XXXTENTACION,bad vibes forever
Taylor Swift - I Forgot That You Existed,355806281,118029,Taylor Swift,I Forgot That You Existed
Virgoun - Selamat (Selamat Tinggal),355488948,441636,Virgoun,Selamat (Selamat Tinggal)
YK Osiris - Worth It,355026375,139614,YK Osiris,Worth It
Doja Cat - Tia Tamera,353260505,181382,Doja Cat,Tia Tamera
Bakar - Hell N Back,353179492,640471,Bakar,Hell N Back
Post Malone - Die For Me,351992531,92086,Post Malone,Die For Me
YUNGBLUD - parents,351904652,109784,YUNGBLUD,parents
"A$AP Ferg - Dreams, Fairytales, Fantasies",351504128,465738,A$AP Ferg,"Dreams, Fairytales, Fantasies"
Mrs. GREEN APPLE - インフェルノ,350119559,304574,Mrs. GREEN APPLE,インフェルノ
Rauw Alejandro - El Efecto,349741305,120538,Rauw Alejandro,El Efecto
ZAYN - A Whole New World (End Title),348464328,98385,ZAYN,A Whole New World (End Title)
Niall Horan - Nice To Meet Ya,347927997,93497,Niall Horan,Nice To Meet Ya
"benny blanco - I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",347813749,34142,benny blanco,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)"
Lewis Capaldi - Forever,347681772,151149,Lewis Capaldi,Forever
Alvaro Soler - La Cintura,346543651,45022,Alvaro Soler,La Cintura
Harry Styles - She,346426638,96011,Harry Styles,She
The Backseat Lovers - Kilby Girl,343608119,188435,The Backseat Lovers,Kilby Girl
Myke Towers - La Playa,342382393,141174,Myke Towers,La Playa
girl in red - bad idea!,341672598,219371,girl in red,bad idea!
LUM!X - Monster,340862469,115480,LUM!X,Monster
Junior H - Disfruto Lo Malo,338687982,177207,Junior H,Disfruto Lo Malo
Mustard - Baguettes in the Face,338465960,50790,Mustard,Baguettes in the Face
KAROL G - Ocean,337244354,141200,KAROL G,Ocean
Mau y Ricky - La Boca,336416441,77654,Mau y Ricky,La Boca
Lil Uzi Vert - Futsal Shuffle 2020,336337230,50594,Lil Uzi Vert,Futsal Shuffle 2020
BTS - Mikrokosmos,335018755,93503,BTS,Mikrokosmos
Rod Wave - Heart On Ice,334565813,122005,Rod Wave,Heart On Ice
Labrinth - Forever,334115844,92063,Labrinth,Forever
Sech - Si Te Vas,333878048,34900,Sech,Si Te Vas
Nio Garcia - Mírame,333671241,128055,Nio Garcia,Mírame
Dermot Kennedy - Outnumbered,333142839,59076,Dermot Kennedy,Outnumbered
Nicky Jam - Whine Up,331263016,32608,Nicky Jam,Whine Up
Duki - Goteo,331089744,145418,Duki,Goteo
Ant Saunders - Yellow Hearts,329947445,28830,Ant Saunders,Yellow Hearts
"Akhil - Duniyaa (From ""Luka Chuppi"")",329861165,366630,Akhil,"Duniyaa (From ""Luka Chuppi"")"
Jorja Smith - Be Honest,329851210,118354,Jorja Smith,Be Honest
Sebastian Yatra - Cristina,328668842,159596,Sebastian Yatra,Cristina
Hindia - Rumah Ke Rumah,328261448,648895,Hindia,Rumah Ke Rumah
Justin Wellington - Iko Iko (My Bestie),328144145,88675,Justin Wellington,Iko Iko (My Bestie)
Lana Del Rey - Norman fucking Rockwell,325307993,203211,Lana Del Rey,Norman fucking Rockwell
Jax Jones - All Day And Night,324899247,77700,Jax Jones,All Day And Night
BTS - HOME,324751164,84817,BTS,HOME
Santa Fe Klan - Te Ire A Buscar,323795629,132306,Santa Fe Klan,Te Ire A Buscar
Arcángel - Infeliz,323786860,121628,Arcángel,Infeliz
AnnenMayKantereit - Tom's Diner,323753423,197850,AnnenMayKantereit,Tom's Diner
Don Patricio - Contando Lunares,323180564,60721,Don Patricio,Contando Lunares
Myke Towers - Si Se Da,323088438,41850,Myke Towers,Si Se Da
Mabel - Mad Love,322615905,45769,Mabel,Mad Love
iann dior - gone girl,322199330,33730,iann dior,gone girl
Melanie Martinez - Teacher's Pet,321555805,283336,Melanie Martinez,Teacher's Pet
Daddy Yankee - Si Supieras,321199907,114457,Daddy Yankee,Si Supieras
DaniLeigh - Easy,321058752,129266,DaniLeigh,Easy
Sonder - What You Heard,319910406,387647,Sonder,What You Heard
Ellie Goulding - Sixteen,319546627,18123,Ellie Goulding,Sixteen
A-Wall - Loverboy,319237198,139541,A-Wall,Loverboy
Tommee Profitt - In The End,318234823,111377,Tommee Profitt,In The End
Ruel - Painkiller,316795499,64790,Ruel,Painkiller
BTS - Make It Right,316241913,69653,BTS,Make It Right
Billie Eilish - 8,316149638,78762,Billie Eilish,8
Tory Lanez - The Take,315798734,87549,Tory Lanez,The Take
