Artist and Title,Streams,Daily,Artist,Song
Miley Cyrus - Flowers,2255330931,1719476.0,Miley Cyrus,Flowers
Jung Kook - Seven,1999535182,2554059.0,Jung Kook,Seven
OneRepublic - I Ain't Worried,1782601199,1149811.0,OneRepublic,I Ain't Worried
Tate McRae - greedy,1493141409,1504342.0,Tate McRae,greedy
The Weeknd - One Of The Girls,1325250501,2613470.0,The Weeknd,One Of The Girls
Eslabon Armado - Ella Baila Sola,1303610208,527299.0,Eslabon Armado,Ella Baila Sola
Jimin - Like Crazy,1298425886,354599.0,Jimin,Like Crazy
David Kushner - Daylight,1293249722,1139566.0,David Kushner,Daylight
Mitski - My Love Mine All Mine,1267105573,2035618.0,Mitski,My Love Mine All Mine
Teddy Swims - Lose Control,1220416411,3105834.0,Teddy Swims,Lose Control
Doja Cat - Paint The Town Red,1210088522,1014442.0,Doja Cat,Paint The Town Red
d4vd - Here With Me,1179323325,1089562.0,d4vd,Here With Me
Olivia Rodrigo - vampire,1155099952,1100407.0,Olivia Rodrigo,vampire
Yng Lvcas - La Bebe,1154216173,735714.0,Yng Lvcas,La Bebe
KAROL G - TQG,1144306970,769604.0,KAROL G,TQG
Grupo Frontera - un x100to,1132060186,971287.0,Grupo Frontera,un x100to
Morgan Wallen - Last Night,1085026140,936376.0,Morgan Wallen,Last Night
"Billie Eilish - What Was I Made For? [From The Motion Picture ""Barbie""]",1081926523,1342029.0,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]"
KAROL G - QLONA,1071066969,1196088.0,KAROL G,QLONA
Myke Towers - LALA,1059195248,910832.0,Myke Towers,LALA
The Weeknd - Die For You,1007853435,777872.0,The Weeknd,Die For You
Feid - CLASSY 101,1004266293,831402.0,Feid,CLASSY 101
"Bizarrap - Shakira: Bzrp Music Sessions, Vol. 53",999892480,394420.0,Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53"
Dua Lipa - Dance The Night,976182046,690709.0,Dua Lipa,Dance The Night
Travis Scott - FE!N,974206282,2664725.0,Travis Scott,FE!N
Jung Kook - Standing Next to You,971916015,2493042.0,Jung Kook,Standing Next to You
The Weeknd - Popular,960206943,961455.0,The Weeknd,Popular
Gunna - fukumean,935125188,1021259.0,Gunna,fukumean
Feid - LUNA,925052857,1844296.0,Feid,LUNA
FIFTY FIFTY - Cupid,918488891,400839.0,FIFTY FIFTY,Cupid
