Artist and Title,Streams,Daily,Artist,Song
The Kid LAROI - STAY,3314206188,1544492,The Kid LAROI,STAY
Olivia Rodrigo - drivers license,2304662012,911711,Olivia Rodrigo,drivers license
Olivia Rodrigo - good 4 u,2280123875,781146,Olivia Rodrigo,good 4 u
Maroon 5 - Memories,2104790832,755273,Maroon 5,Memories
Lil Nas X - INDUSTRY BABY,2078081962,455984,Lil Nas X,INDUSTRY BABY
Lil Nas X - MONTERO (Call Me By Your Name),1973311243,615773,Lil Nas X,MONTERO (Call Me By Your Name)
24kGoldn - Mood,1955145419,635895,24kGoldn,Mood
Doja Cat - Kiss Me More,1941563851,867774,Doja Cat,Kiss Me More
Adele - Easy On Me,1900239445,1365650,Adele,Easy On Me
Ed Sheeran - Bad Habits,1826862540,712670,Ed Sheeran,Bad Habits
Justin Bieber - Ghost,1739915718,1248803,Justin Bieber,Ghost
Olivia Rodrigo - deja vu,1736577844,1028521,Olivia Rodrigo,deja vu
Doja Cat - Woman,1720027619,1111395,Doja Cat,Woman
Olivia Rodrigo - traitor,1701475926,1048941,Olivia Rodrigo,traitor
Justin Bieber - Peaches,1679264934,500533,Justin Bieber,Peaches
Ed Sheeran - Shivers,1669044203,1117726,Ed Sheeran,Shivers
Imagine Dragons - Enemy,1606664540,781169,Imagine Dragons,Enemy
Farruko - Pepas,1569342981,441545,Farruko,Pepas
Rauw Alejandro - Todo De Ti,1449808118,717155,Rauw Alejandro,Todo De Ti
Bad Bunny - Yonaguni,1446257653,342072,Bad Bunny,Yonaguni
Billie Eilish - Happier Than Ever,1418980121,819561,Billie Eilish,Happier Than Ever
Bruno Mars - Leave The Door Open,1396561479,682000,Bruno Mars,Leave The Door Open
Lost Frequencies - Where Are You Now,1374875763,1074327,Lost Frequencies,Where Are You Now
Coldplay - My Universe,1344156949,481414,Coldplay,My Universe
BTS - Butter,1298593498,302462,BTS,Butter
LISA - MONEY,1247627229,428595,LISA,MONEY
Olivia Rodrigo - happier,1238678592,871973,Olivia Rodrigo,happier
Doja Cat - Need to Know,1224474254,335375,Doja Cat,Need to Know
Surf Curse - Freaks,1221311332,1297036,Surf Curse,Freaks
Olivia Rodrigo - favorite crime,1171357423,874513,Olivia Rodrigo,favorite crime
GAYLE - abcdefu,1164292949,277180,GAYLE,abcdefu
Rauw Alejandro - Desesperados,1156571207,844987,Rauw Alejandro,Desesperados
Måneskin - I WANNA BE YOUR SLAVE,1155134188,834573,Måneskin,I WANNA BE YOUR SLAVE
Stephen Sanchez - Until I Found You,1127455593,807309,Stephen Sanchez,Until I Found You
Lil Nas X - THATS WHAT I WANT,1103071879,258991,Lil Nas X,THATS WHAT I WANT
Riton - Friday,1024779769,354014,Riton,Friday
"Olivia Rodrigo - jealousy, jealousy",976517621,708725,Olivia Rodrigo,"jealousy, jealousy"
The Weeknd - Pray For Me,976434289,449333,The Weeknd,Pray For Me
Polo G - RAPSTAR,972866106,518938,Polo G,RAPSTAR
Tainy - Lo Siento BB:/,965427217,430413,Tainy,Lo Siento BB:/
The Kid LAROI - WITHOUT YOU,959066498,240938,The Kid LAROI,WITHOUT YOU
Tory Lanez - The Color Violet,943184016,1054136,Tory Lanez,The Color Violet
Taylor Swift - All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),919081734,620839,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)
Sleepy Hallow - 2055,912629845,784570,Sleepy Hallow,2055
Marshmello - Leave Before You Love Me,906184812,479083,Marshmello,Leave Before You Love Me
Doja Cat - You Right,883333821,352199,Doja Cat,You Right
Drake - Fair Trade,879721334,498558,Drake,Fair Trade
Tiësto - The Motto,875036430,459511,Tiësto,The Motto
Baby Keem - family ties,872198865,674710,Baby Keem,family ties
Taylor Swift - Love Story (Taylor’s Version),864000051,670815,Taylor Swift,Love Story (Taylor’s Version)
Sebastian Yatra - Pareja Del Año,860205691,333206,Sebastian Yatra,Pareja Del Año
ACRAZE - Do It To It,851725428,335782,ACRAZE,Do It To It
J Balvin - Qué Más Pues?,843197583,268007,J Balvin,Qué Más Pues?
Drake - Wants and Needs,828139684,245732,Drake,Wants and Needs
Aventura - Volví,821924648,315383,Aventura,Volví
Lil Tjay - Calling My Phone,814021003,306568,Lil Tjay,Calling My Phone
Morgan Wallen - Wasted On You,805278272,539417,Morgan Wallen,Wasted On You
Taylor Swift - Wildest Dreams (Taylor's Version),804878105,496398,Taylor Swift,Wildest Dreams (Taylor's Version)
Travis Scott - Goosebumps,799605868,244385,Travis Scott,Goosebumps
TINI - Miénteme,799587873,586403,TINI,Miénteme
Justin Bieber - Hold On,777102685,209785,Justin Bieber,Hold On
Little Mix - Shout Out to My Ex,775641797,150830,Little Mix,Shout Out to My Ex
Drake - Knife Talk,770556180,285580,Drake,Knife Talk
Maroon 5 - Beautiful Mistakes,767568452,289053,Maroon 5,Beautiful Mistakes
ATB - Your Love (9PM),762595107,313995,ATB,Your Love (9PM)
Taylor Swift - You Belong With Me (Taylor’s Version),757796391,751179,Taylor Swift,You Belong With Me (Taylor’s Version)
MEDUZA - Paradise,750665959,191356,MEDUZA,Paradise
Mora - Volando,737244426,258715,Mora,Volando
zzoilo - Mon Amour,730203319,312154,zzoilo,Mon Amour
Marc Seguí - Tiroteo,729853567,453568,Marc Seguí,Tiroteo
BoyWithUke - Toxic,726804848,269063,BoyWithUke,Toxic
Tiësto - Don't Be Shy,724208073,224093,Tiësto,Don't Be Shy
PinkPantheress - Pain,717231606,647316,PinkPantheress,Pain
Justin Bieber - Anyone,712781723,187975,Justin Bieber,Anyone
