Artist and Title,Streams,Daily,Artist,Song
The Weeknd - Blinding Lights,4519995302,1796185,The Weeknd,Blinding Lights
Glass Animals - Heat Waves,3171842839,1168775,Glass Animals,Heat Waves
Dua Lipa - Levitating,2175620739,572048,Dua Lipa,Levitating
The Weeknd - Save Your Tears,2141345763,1137146,The Weeknd,Save Your Tears
Bad Bunny - DÁKITI,2069740461,627166,Bad Bunny,DÁKITI
BTS - Dynamite,1948222425,599442,BTS,Dynamite
Lauv - I Like Me Better,1855575667,577707,Lauv,I Like Me Better
Conan Gray - Heather,1806769981,1193447,Conan Gray,Heather
Ava Max - Sweet but Psycho,1751534426,1053642,Ava Max,Sweet but Psycho
Powfu - death bed (coffee for your head),1726133695,531428,Powfu,death bed (coffee for your head)
Trevor Daniel - Falling,1675040398,692324,Trevor Daniel,Falling
DaBaby - ROCKSTAR,1671596582,253656,DaBaby,ROCKSTAR
The Weeknd - Save Your Tears (Remix),1669020219,856264,The Weeknd,Save Your Tears (Remix)
Eminem - Godzilla,1552473379,768876,Eminem,Godzilla
Ariana Grande - positions,1499570580,542683,Ariana Grande,positions
Taylor Swift - cardigan,1455195167,1077676,Taylor Swift,cardigan
Internet Money - Lemonade,1376084135,545145,Internet Money,Lemonade
Cardi B - WAP,1374432814,410615,Cardi B,WAP
Maluma - Hawái,1370309227,564231,Maluma,Hawái
Lil Mosey - Blueberry Faygo,1340379619,396628,Lil Mosey,Blueberry Faygo
blackbear - hot girl bummer,1301337469,254358,blackbear,hot girl bummer
Taylor Swift - august,1280079812,1058715,Taylor Swift,august
Future - Life Is Good,1272551202,275397,Future,Life Is Good
Selena Gomez - Lose You To Love Me,1268242890,411220,Selena Gomez,Lose You To Love Me
Kali Uchis - telepatía,1253617138,785566,Kali Uchis,telepatía
Dua Lipa - Break My Heart,1251154455,297855,Dua Lipa,Break My Heart
Joel Corry - Head & Heart,1248385579,296227,Joel Corry,Head & Heart
Giveon - Heartbreak Anniversary,1245687121,754675,Giveon,Heartbreak Anniversary
Tiësto - The Business,1239758615,281851,Tiësto,The Business
SZA - Good Days,1231846962,827713,SZA,Good Days
Justin Bieber - Intentions,1222164080,372790,Justin Bieber,Intentions
Elley Duhé - MIDDLE OF THE NIGHT,1193665668,716682,Elley Duhé,MIDDLE OF THE NIGHT
Jay Wheeler - La Curiosidad,1192812270,624193,Jay Wheeler,La Curiosidad
Pop Smoke - What You Know Bout Love,1185509224,409967,Pop Smoke,What You Know Bout Love
Ariana Grande - Stuck with U,1176277016,492687,Ariana Grande,Stuck with U
Pop Smoke - For The Night,1151826423,276376,Pop Smoke,For The Night
Jawsh 685 - Savage Love (Laxed,1142811361,170733,Jawsh 685,Savage Love (Laxed
Lady Gaga - Rain On Me,1096619483,265553,Lady Gaga,Rain On Me
Noah Cyrus - July,1093335000,1246425,Noah Cyrus,July
Drake - Toosie Slide,1084219916,203730,Drake,Toosie Slide
BLACKPINK - How You Like That,1074187941,307842,BLACKPINK,How You Like That
Hotel Ugly - Shut up My Moms Calling,1072560245,1596518,Hotel Ugly,Shut up My Moms Calling
Bad Bunny - LA NOCHE DE ANOCHE,1031335989,254036,Bad Bunny,LA NOCHE DE ANOCHE
The Weeknd - Heartless,1028981876,442360,The Weeknd,Heartless
Dua Lipa - Physical,1025813688,466170,Dua Lipa,Physical
The Weeknd - After Hours,1019721042,629324,The Weeknd,After Hours
Ava Max - Kings & Queens,1018646448,431310,Ava Max,Kings & Queens
Ariana Grande - 34+35,1015156608,292017,Ariana Grande,34+35
Don Toliver - No Idea,1004327349,664608,Don Toliver,No Idea
Dua Lipa - Levitating,998035914,338490,Dua Lipa,Levitating
Juice WRLD - Come & Go,996220092,272574,Juice WRLD,Come & Go
Drake - Laugh Now Cry Later,995048312,275270,Drake,Laugh Now Cry Later
Disclosure - Talk,990982079,147488,Disclosure,Talk
Bad Bunny - La Santa,981219350,461769,Bad Bunny,La Santa
