Artist and Title,Streams,Daily,Artist,Song
The Weeknd - Starboy,3540211583,1897875.0,The Weeknd,Starboy
Drake - One Dance,3386757371,1404431.0,Drake,One Dance
James Arthur - Say You Won't Let Go,3028887064,1338041.0,James Arthur,Say You Won't Let Go
The Chainsmokers - Closer,3008929222,1250927.0,The Chainsmokers,Closer
Travis Scott - goosebumps,2576196875,1581148.0,Travis Scott,goosebumps
The Weeknd - Die For You,2476070678,1680129.0,The Weeknd,Die For You
DJ Snake - Let Me Love You,2275404161,1076132.0,DJ Snake,Let Me Love You
Bruno Mars - That's What I Like,2247651844,1495278.0,Bruno Mars,That's What I Like
Post Malone - Congratulations,2058675224,484813.0,Post Malone,Congratulations
Mike Posner - I Took A Pill In Ibiza,2040508028,635781.0,Mike Posner,I Took A Pill In Ibiza
Lukas Graham - 7 Years,2027118563,719718.0,Lukas Graham,7 Years
The Chainsmokers - Don't Let Me Down,1977863406,855358.0,The Chainsmokers,Don't Let Me Down
Danny Ocean - Me Rehúso,1880127374,652956.0,Danny Ocean,Me Rehúso
Twenty One Pilots - Heathens,1876907921,967947.0,Twenty One Pilots,Heathens
Calvin Harris - This Is What You Came For,1871909793,619477.0,Calvin Harris,This Is What You Came For
The Weeknd - I Feel It Coming,1830908186,630454.0,The Weeknd,I Feel It Coming
"Justin Timberlake - CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",1802804001,535055.0,Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")"
DNCE - Cake By The Ocean,1699757732,,DNCE,Cake By The Ocean
Childish Gambino - Redbone,1689781804,593557.0,Childish Gambino,Redbone
Post Malone - I Fall Apart,1677806208,306720.0,Post Malone,I Fall Apart
Major Lazer - Cold Water,1603500023,511220.0,Major Lazer,Cold Water
Clean Bandit - Rockabye,1599488209,478592.0,Clean Bandit,Rockabye
Rihanna - Love On The Brain,1596957874,950831.0,Rihanna,Love On The Brain
Rihanna - Needed Me,1581220165,706086.0,Rihanna,Needed Me
Billie Eilish - ocean eyes,1555923041,1218359.0,Billie Eilish,ocean eyes
Bruno Mars - 24K Magic,1524140351,710468.0,Bruno Mars,24K Magic
Frank Ocean - Pink + White,1514882157,1633386.0,Frank Ocean,Pink + White
Martin Garrix - In the Name of Love,1513356685,435139.0,Martin Garrix,In the Name of Love
Ariana Grande - Side To Side,1489784768,541804.0,Ariana Grande,Side To Side
Fifth Harmony - Work from Home,1470469514,324894.0,Fifth Harmony,Work from Home
Rihanna - Work,1454795456,424871.0,Rihanna,Work
Ariana Grande - Into You,1453229955,664236.0,Ariana Grande,Into You
"gnash - i hate u, i love u",1440372251,384281.0,gnash,"i hate u, i love u"
Sia - Unstoppable,1430226517,1153525.0,Sia,Unstoppable
ZAYN - PILLOWTALK,1383307165,970690.0,ZAYN,PILLOWTALK
Drake - Hotline Bling,1377464064,338590.0,Drake,Hotline Bling
The Lumineers - Ophelia,1371783219,657739.0,The Lumineers,Ophelia
Sean Paul - No Lie,1250480950,652744.0,Sean Paul,No Lie
Kanye West - Father Stretch My Hands Pt. 1,1221731523,929340.0,Kanye West,Father Stretch My Hands Pt. 1
Ariana Grande - Dangerous Woman,1213588299,723877.0,Ariana Grande,Dangerous Woman
Hailee Steinfeld - Starving,1212084637,192297.0,Hailee Steinfeld,Starving
The Weeknd - Stargirl Interlude,1207681468,1089379.0,The Weeknd,Stargirl Interlude
Desiigner - Panda,1201811634,167679.0,Desiigner,Panda
Kungs - This Girl (Kungs Vs. Cookin' On 3 Burners),1185574753,389925.0,Kungs,This Girl (Kungs Vs. Cookin' On 3 Burners)
Post Malone - White Iverson,1173069480,284599.0,Post Malone,White Iverson
Lil Wayne - Sucker for Pain,1170110919,277300.0,Lil Wayne,Sucker for Pain
Daniel Caesar - Get You,1134590866,1060757.0,Daniel Caesar,Get You
DJ Snake - Middle,1103580081,268869.0,DJ Snake,Middle
The Weeknd - Reminder,1102998602,737190.0,The Weeknd,Reminder
