Artist and Title,Streams,Daily,Artist,Song
Justin Bieber - Love Yourself,2557893529,1034758.0,Justin Bieber,Love Yourself
Lord Huron - The Night We Met,2467918017,2900214.0,Lord Huron,The Night We Met
Twenty One Pilots - Stressed Out,2448960191,976990.0,Twenty One Pilots,Stressed Out
The Weeknd - The Hills,2446889307,1115223.0,The Weeknd,The Hills
Justin Bieber - Sorry,2218525977,1062656.0,Justin Bieber,Sorry
Major Lazer - Lean On,2202517116,843390.0,Major Lazer,Lean On
Alan Walker - Faded,2042186202,785526.0,Alan Walker,Faded
Shawn Mendes - Stitches,2015779273,948688.0,Shawn Mendes,Stitches
Charlie Puth - We Don't Talk Anymore,2001431072,1611971.0,Charlie Puth,We Don't Talk Anymore
Wiz Khalifa - See You Again,1991926783,914187.0,Wiz Khalifa,See You Again
Twenty One Pilots - Ride,1841164081,602177.0,Twenty One Pilots,Ride
Sia - Cheap Thrills,1832315470,616700.0,Sia,Cheap Thrills
The Weeknd - Can't Feel My Face,1831721963,676592.0,The Weeknd,Can't Feel My Face
Tame Impala - The Less I Know The Better,1781175944,958092.0,Tame Impala,The Less I Know The Better
OMI - Cheerleader,1780265254,821230.0,OMI,Cheerleader
Justin Bieber - What Do You Mean?,1676496658,646534.0,Justin Bieber,What Do You Mean?
Adele - Hello,1608167427,438613.0,Adele,Hello
The Neighbourhood - Daddy Issues,1585175822,1167381.0,The Neighbourhood,Daddy Issues
Ellie Goulding - Love Me Like You Do,1577571112,370635.0,Ellie Goulding,Love Me Like You Do
Coldplay - Hymn for the Weekend,1522129414,668186.0,Coldplay,Hymn for the Weekend
Alessia Cara - Scars To Your Beautiful,1480526236,540627.0,Alessia Cara,Scars To Your Beautiful
Avicii - Waiting For Love,1469930449,519372.0,Avicii,Waiting For Love
Bryson Tiller - Don't,1412010958,1174086.0,Bryson Tiller,Don't
"G-Eazy - Me, Myself & I",1366374417,655289.0,G-Eazy,"Me, Myself & I"
Adele - When We Were Young,1362321662,564291.0,Adele,When We Were Young
Major Lazer - Light It Up (Remix),1353184153,409849.0,Major Lazer,Light It Up (Remix)
Lil Peep - Star Shopping,1294588247,815838.0,Lil Peep,Star Shopping
Robin Schulz - Sugar,1281341145,384697.0,Robin Schulz,Sugar
Fall Out Boy - Centuries,1254488024,547802.0,Fall Out Boy,Centuries
Calvin Harris - How Deep Is Your Love,1253669377,627820.0,Calvin Harris,How Deep Is Your Love
Fetty Wap - Trap Queen,1233282531,399844.0,Fetty Wap,Trap Queen
KALEO - Way down We Go,1214179632,694829.0,KALEO,Way down We Go
Beach House - Space Song,1208860533,862592.0,Beach House,Space Song
One Direction - Drag Me Down,1196124691,1198423.0,One Direction,Drag Me Down
Jonas Blue - Fast Car,1186774760,376863.0,Jonas Blue,Fast Car
Rihanna - FourFiveSeconds,1183873100,397719.0,Rihanna,FourFiveSeconds
Kygo - Firestone,1155624284,288733.0,Kygo,Firestone
BØRNS - Electric Love,1143797471,416418.0,BØRNS,Electric Love
WILLOW - Wait a Minute!,1143346466,499462.0,WILLOW,Wait a Minute!
Jack Ü - Where Are Ü Now,1129942534,204918.0,Jack Ü,Where Are Ü Now
Meghan Trainor - Like I'm Gonna Lose You,1124837950,640961.0,Meghan Trainor,Like I'm Gonna Lose You
