Artist and Title,Streams,Daily,Artist,Song
Bruno Mars - Just the Way You Are,2311424098,1762495.0,Bruno Mars,Just the Way You Are
Don Omar - Danza Kuduro,1769538783,1176579.0,Don Omar,Danza Kuduro
Eminem - Love The Way You Lie,1662664602,1069775.0,Eminem,Love The Way You Lie
"Train - Hey, Soul Sister",1660845812,965534.0,Train,"Hey, Soul Sister"
Maroon 5 - Moves Like Jagger,1596316715,952193.0,Maroon 5,Moves Like Jagger
Miguel - Sure Thing,1524947950,1321882.0,Miguel,Sure Thing
Bruno Mars - Talking to the Moon,1502914668,1148463.0,Bruno Mars,Talking to the Moon
Bruno Mars - Grenade,1416969305,918485.0,Bruno Mars,Grenade
Katy Perry - Last Friday Night (T.G.I.F.),1270670149,906346.0,Katy Perry,Last Friday Night (T.G.I.F.)
Rihanna - Only Girl (In The World),1222070573,932205.0,Rihanna,Only Girl (In The World)
Katy Perry - Firework,1156377008,615201.0,Katy Perry,Firework
Rihanna - S&M,1153109798,846169.0,Rihanna,S&M
Taio Cruz - Dynamite,1141088153,573806.0,Taio Cruz,Dynamite
Plan B - Es un Secreto,1116864908,1151434.0,Plan B,Es un Secreto
Bruno Mars - Marry You,1095229012,754916.0,Bruno Mars,Marry You
Eminem - Not Afraid,1073413620,529650.0,Eminem,Not Afraid
Justin Bieber - Baby,1052009346,873740.0,Justin Bieber,Baby
Bruno Mars - The Lazy Song,1036408063,596339.0,Bruno Mars,The Lazy Song
Katy Perry - The One That Got Away,1004699260,817238.0,Katy Perry,The One That Got Away
Kanye West - POWER,976077700,382264.0,Kanye West,POWER
USHER - DJ Got Us Fallin' In Love,944749146,753133.0,USHER,DJ Got Us Fallin' In Love
One Direction - Perfect,936588739,2046111.0,One Direction,Perfect
Nicki Minaj - Super Bass,919568347,432238.0,Nicki Minaj,Super Bass
Katy Perry - California Gurls,914951317,627835.0,Katy Perry,California Gurls
Two Door Cinema Club - What You Know,889257433,548052.0,Two Door Cinema Club,What You Know
Shakira - Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song],878671705,313761.0,Shakira,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song]
Taylor Swift - Enchanted,855012039,327230.0,Taylor Swift,Enchanted
Katy Perry - Teenage Dream,851202968,594019.0,Katy Perry,Teenage Dream
B.o.B - Airplanes,831165664,484532.0,B.o.B,Airplanes
Patrick Watson - Je te laisserai des mots,817747793,954129.0,Patrick Watson,Je te laisserai des mots
Mac Miller - The Spins,812561390,861285.0,Mac Miller,The Spins
Kanye West - Runaway,798181532,769282.0,Kanye West,Runaway
P!nk - Raise Your Glass,742381465,421578.0,P!nk,Raise Your Glass
Far East Movement - Like A G6,737148635,345758.0,Far East Movement,Like A G6
Kanye West - All Of The Lights,726464892,382783.0,Kanye West,All Of The Lights
Stromae - Alors on danse,725053348,344335.0,Stromae,Alors on danse
Travie McCoy - Billionaire,721586167,709176.0,Travie McCoy,Billionaire
Cascada - Everytime We Touch,706461419,379698.0,Cascada,Everytime We Touch
Waka Flocka Flame - No Hands,703937454,284580.0,Waka Flocka Flame,No Hands
Bruno Mars - Count on Me,698233990,395436.0,Bruno Mars,Count on Me
Sean Kingston - Eenie Meenie,688883325,464717.0,Sean Kingston,Eenie Meenie
Wiz Khalifa - Black and Yellow,671587647,390981.0,Wiz Khalifa,Black and Yellow
B.o.B - Nothin' on You,665197951,475565.0,B.o.B,Nothin' on You
Gorillaz - On Melancholy Hill,649225571,612666.0,Gorillaz,On Melancholy Hill
Roar - I Can't Handle Change,624884193,402574.0,Roar,I Can't Handle Change
Alexandra Stan - Mr. Saxobeat,624009025,397432.0,Alexandra Stan,Mr. Saxobeat
Flo Rida - Club Can't Handle Me,616987705,368226.0,Flo Rida,Club Can't Handle Me
Taio Cruz - Break Your Heart,603971160,385620.0,Taio Cruz,Break Your Heart
Black Eyed Peas - Just Can’t Get Enough,592771607,371690.0,Black Eyed Peas,Just Can’t Get Enough
Miguel - Girl With The Tattoo Enter.lewd,589948725,797176.0,Miguel,Girl With The Tattoo Enter.lewd
John Lennon - Happy Xmas (War Is Over),574184279,76186.0,John Lennon,Happy Xmas (War Is Over)
Rihanna - What's My Name?,566817273,353724.0,Rihanna,What's My Name?
Kid Cudi - Mr. Rager,546587790,400482.0,Kid Cudi,Mr. Rager
bôa - Duvet,537176215,993215.0,bôa,Duvet
Enrique Iglesias - Cuando Me Enamoro,529736022,401918.0,Enrique Iglesias,Cuando Me Enamoro
Nelly - Just A Dream,528762051,269336.0,Nelly,Just A Dream
Kanye West - Devil In A New Dress,500516172,391155.0,Kanye West,Devil In A New Dress
Bruno Mars - Runaway Baby,497335953,461684.0,Bruno Mars,Runaway Baby
Lady A - Need You Now,490536308,277601.0,Lady A,Need You Now
Gorillaz - Rhinestone Eyes,488222537,262410.0,Gorillaz,Rhinestone Eyes
Dread Mar I - Tu Sin Mi,470362655,380058.0,Dread Mar I,Tu Sin Mi
The Black Keys - Howlin' for You,450824293,189983.0,The Black Keys,Howlin' for You
Plan B - Si No Le Contesto,449444227,376539.0,Plan B,Si No Le Contesto
Camila - Mientes,436527126,587235.0,Camila,Mientes
Kavinsky - Nightcall,429727526,310449.0,Kavinsky,Nightcall
Angus & Julia Stone - Big Jet Plane,426962692,239606.0,Angus & Julia Stone,Big Jet Plane
Jeremih - Down On Me,423289442,255264.0,Jeremih,Down On Me
Zac Brown Band - Knee Deep,421974942,148177.0,Zac Brown Band,Knee Deep
Dr. Dog - Where'd All the Time Go?,419048913,404038.0,Dr. Dog,Where'd All the Time Go?
Taylor Swift - Back To December,410494298,122507.0,Taylor Swift,Back To December
CeeLo Green - Fuck You,402814406,117964.0,CeeLo Green,Fuck You
Neon Trees - Animal,395754992,175417.0,Neon Trees,Animal
Jason Derulo - In My Head,394214648,123395.0,Jason Derulo,In My Head
Prince Royce - Corazón Sin Cara,392122268,238429.0,Prince Royce,Corazón Sin Cara
Katy Perry - E.T.,389161304,307110.0,Katy Perry,E.T.
Jason Aldean - Dirt Road Anthem,388453403,139386.0,Jason Aldean,Dirt Road Anthem
Rihanna - Man Down,385357507,171890.0,Rihanna,Man Down
