Artist and Title,Streams,Daily,Artist,Song
Vance Joy - Riptide,2770105752,2281932.0,Vance Joy,Riptide
Hozier - Take Me to Church,2739635826,1515081.0,Hozier,Take Me to Church
Ed Sheeran - Photograph,2663069370,1359760.0,Ed Sheeran,Photograph
OneRepublic - Counting Stars,2662563947,1461045.0,OneRepublic,Counting Stars
Ed Sheeran - Thinking out Loud,2594269051,679495.0,Ed Sheeran,Thinking out Loud
Arctic Monkeys - I Wanna Be Yours,2540122397,2619493.0,Arctic Monkeys,I Wanna Be Yours
John Legend - All of Me,2507366331,1032657.0,John Legend,All of Me
Avicii - Wake Me Up,2480626696,1003530.0,Avicii,Wake Me Up
Arctic Monkeys - Do I Wanna Know?,2338026006,1113245.0,Arctic Monkeys,Do I Wanna Know?
Arctic Monkeys - Why'd You Only Call Me When You're High?,1841163414,1242360.0,Arctic Monkeys,Why'd You Only Call Me When You're High?
Bastille - Pompeii,1673720400,670723.0,Bastille,Pompeii
MAGIC! - Rude,1618364106,1018974.0,MAGIC!,Rude
Milky Chance - Stolen Dance,1561347595,738462.0,Milky Chance,Stolen Dance
Katy Perry - Dark Horse,1547314490,833708.0,Katy Perry,Dark Horse
Lana Del Rey - Young And Beautiful,1418494834,1038596.0,Lana Del Rey,Young And Beautiful
One Direction - Story of My Life,1406970795,3333661.0,One Direction,Story of My Life
Capital Cities - Safe and Sound,1392047661,1334455.0,Capital Cities,Safe and Sound
Lorde - Royals,1277926117,376329.0,Lorde,Royals
George Ezra - Budapest,1262866606,842159.0,George Ezra,Budapest
Katy Perry - Roar,1228718116,535906.0,Katy Perry,Roar
Kodaline - All I Want,1193711240,432264.0,Kodaline,All I Want
Daft Punk - Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],1153043178,414527.0,Daft Punk,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]
Justin Timberlake - Mirrors,1120941448,549362.0,Justin Timberlake,Mirrors
Eminem - Rap God,1115655924,342341.0,Eminem,Rap God
Arctic Monkeys - R U Mine?,1107161016,552532.0,Arctic Monkeys,R U Mine?
A Great Big World - Say Something,1094656040,247426.0,A Great Big World,Say Something
Eminem - The Monster,1091710839,566128.0,Eminem,The Monster
Avicii - Hey Brother,1058086695,369265.0,Avicii,Hey Brother
"Drake - Hold On, We're Going Home",1047307889,386321.0,Drake,"Hold On, We're Going Home"
Kanye West - Bound 2,1028452532,651006.0,Kanye West,Bound 2
Cage The Elephant - Cigarette Daydreams,1027836737,781647.0,Cage The Elephant,Cigarette Daydreams
Miley Cyrus - We Can't Stop,1010949423,290973.0,Miley Cyrus,We Can't Stop
Miley Cyrus - Wrecking Ball,988462348,447043.0,Miley Cyrus,Wrecking Ball
Ed Sheeran - I See Fire,965967843,154228.0,Ed Sheeran,I See Fire
PARTYNEXTDOOR - Break from Toronto,913689256,1092115.0,PARTYNEXTDOOR,Break from Toronto
Demi Lovato - Heart Attack,893341776,578603.0,Demi Lovato,Heart Attack
Robin Thicke - Blurred Lines,881734167,254856.0,Robin Thicke,Blurred Lines
Childish Gambino - V. 3005,876385883,461549.0,Childish Gambino,V. 3005
Lil Wayne - Love Me,869694519,918644.0,Lil Wayne,Love Me
Paramore - Still into You,846747430,783117.0,Paramore,Still into You
Lorde - Team,846494725,328527.0,Lorde,Team
A$AP Rocky - F**kin' Problems,840645545,240170.0,A$AP Rocky,F**kin' Problems
Romeo Santos - Propuesta Indecente,837114744,719245.0,Romeo Santos,Propuesta Indecente
Fitz and The Tantrums - Out of My League,800363845,454926.0,Fitz and The Tantrums,Out of My League
John Newman - Love Me Again,785352910,393551.0,John Newman,Love Me Again
Darius Rucker - Wagon Wheel,780503264,316746.0,Darius Rucker,Wagon Wheel
Ed Sheeran - Don't,778681937,159689.0,Ed Sheeran,Don't
Jason Derulo - Talk Dirty,755835479,270772.0,Jason Derulo,Talk Dirty
