Artist and Title,Streams,Daily,Artist,Song
The Neighbourhood - Sweater Weather,3283291192,2986500,The Neighbourhood,Sweater Weather
Tom Odell - Another Love,2700367451,1878790,Tom Odell,Another Love
Imagine Dragons - Demons,2452977641,1366523,Imagine Dragons,Demons
Passenger - Let Her Go,2371960509,933108,Passenger,Let Her Go
Bruno Mars - When I Was Your Man,2332900579,1841614,Bruno Mars,When I Was Your Man
Bruno Mars - Locked out of Heaven,2231920353,1831738,Bruno Mars,Locked out of Heaven
Maroon 5 - Payphone,1978304313,1138851,Maroon 5,Payphone
Imagine Dragons - Radioactive,1948341424,749598,Imagine Dragons,Radioactive
Calvin Harris - We Found Love,1830451177,1155671,Calvin Harris,We Found Love
Lana Del Rey - Summertime Sadness,1631458999,1254257,Lana Del Rey,Summertime Sadness
Kendrick Lamar - Money Trees,1621907152,999847,Kendrick Lamar,Money Trees
Pitbull - Timber,1603459784,968874,Pitbull,Timber
The Script - Hall of Fame,1574771718,1015463,The Script,Hall of Fame
Rihanna - Diamonds,1519564053,741345,Rihanna,Diamonds
Carly Rae Jepsen - Call Me Maybe,1515995101,852249,Carly Rae Jepsen,Call Me Maybe
P!nk - Just Give Me a Reason,1453631935,1110061,P!nk,Just Give Me a Reason
MKTO - Classic,1433781585,761455,MKTO,Classic
Rihanna - Stay,1416057708,852668,Rihanna,Stay
One Direction - What Makes You Beautiful,1395099541,1698116,One Direction,What Makes You Beautiful
The Lumineers - Ho Hey,1372901517,627972,The Lumineers,Ho Hey
Macklemore & Ryan Lewis - Thrift Shop,1310203826,591758,Macklemore & Ryan Lewis,Thrift Shop
fun. - We Are Young,1219434129,513716,fun.,We Are Young
Swedish House Mafia - Don't You Worry Child,1164087806,535851,Swedish House Mafia,Don't You Worry Child
Frank Ocean - Lost,1156456285,702705,Frank Ocean,Lost
Of Monsters and Men - Little Talks,1110177362,433673,Of Monsters and Men,Little Talks
Frank Ocean - Thinkin Bout You,1108459105,1045740,Frank Ocean,Thinkin Bout You
Disclosure - Latch,1096998896,666316,Disclosure,Latch
Bruno Mars - Treasure,1083601842,1563370,Bruno Mars,Treasure
Imagine Dragons - On Top Of The World,1029066854,422026,Imagine Dragons,On Top Of The World
Maroon 5 - One More Night,966117282,622715,Maroon 5,One More Night
Icona Pop - I Love It,950295560,568648,Icona Pop,I Love It
Justin Bieber - Beauty And A Beat,947829393,981572,Justin Bieber,Beauty And A Beat
Neon Trees - Everybody Talks,893340360,388147,Neon Trees,Everybody Talks
Taylor Swift - I Knew You Were Trouble.,889655576,367729,Taylor Swift,I Knew You Were Trouble.
alt-J - Breezeblocks,885406734,378311,alt-J,Breezeblocks
Jason Mraz - I Won't Give Up,879668566,213659,Jason Mraz,I Won't Give Up
Flo Rida - Whistle,861862836,456228,Flo Rida,Whistle
Adele - Skyfall,840183437,1193969,Adele,Skyfall
James Arthur - Impossible,831782083,365232,James Arthur,Impossible
Ellie Goulding - Burn,826975564,409957,Ellie Goulding,Burn
will.i.am - Scream & Shout,814377944,364915,will.i.am,Scream & Shout
Chief Keef - Love Sosa,810865693,445203,Chief Keef,Love Sosa
Kendrick Lamar - Swimming Pools (Drank),802174166,487423,Kendrick Lamar,Swimming Pools (Drank)
