Artist and Title,Streams,Daily,Artist,Song
Lewis Capaldi - Someone You Loved,3641682319,1478313,Lewis Capaldi,Someone You Loved
Post Malone - Sunflower,3564442550,1325569,Post Malone,Sunflower
Post Malone - rockstar,3050297064,649394,Post Malone,rockstar
Billie Eilish - lovely,3028401227,1590261,Billie Eilish,lovely
Juice WRLD - Lucid Dreams,2654403403,818436,Juice WRLD,Lucid Dreams
Drake - God's Plan,2622999885,764819,Drake,God's Plan
Lady Gaga - Shallow,2573350013,934704,Lady Gaga,Shallow
Ariana Grande - 7 rings,2365862640,831118,Ariana Grande,7 rings
Calvin Harris - One Kiss,2298634154,792436,Calvin Harris,One Kiss
XXXTENTACION - SAD!,2282821752,530727,XXXTENTACION,SAD!
Marshmello - Happier,2250168692,846534,Marshmello,Happier
Travis Scott - SICKO MODE,2226856388,692189,Travis Scott,SICKO MODE
Camila Cabello - Havana,2150314176,704108,Camila Cabello,Havana
Halsey - Without Me,2118832421,667962,Halsey,Without Me
Post Malone - Better Now,2014176382,444366,Post Malone,Better Now
XXXTENTACION - Moonlight,1978809949,770061,XXXTENTACION,Moonlight
"Ariana Grande - thank u, next",1938343475,518621,Ariana Grande,"thank u, next"
The Weeknd - Call Out My Name,1913073539,974489,The Weeknd,Call Out My Name
Charlie Puth - Attention,1894219253,658249,Charlie Puth,Attention
5 Seconds of Summer - Youngblood,1861572331,658597,5 Seconds of Summer,Youngblood
Dean Lewis - Be Alright,1831087053,651249,Dean Lewis,Be Alright
Kendrick Lamar - All The Stars,1819520123,1307460,Kendrick Lamar,All The Stars
Alec Benjamin - Let Me Down Slowly,1817591345,1254120,Alec Benjamin,Let Me Down Slowly
benny blanco - Eastside,1813567014,636184,benny blanco,Eastside
Juice WRLD - All Girls Are The Same,1717077390,912100,Juice WRLD,All Girls Are The Same
Maroon 5 - Girls Like You,1687065339,282398,Maroon 5,Girls Like You
Panic! At The Disco - High Hopes,1675624200,668757,Panic! At The Disco,High Hopes
Cardi B - I Like It,1671330000,297726,Cardi B,I Like It
DJ Snake - Taki Taki,1616348198,372402,DJ Snake,Taki Taki
Anne-Marie - 2002,1588050150,417178,Anne-Marie,2002
Lil Baby - Drip Too Hard (Lil Baby & Gunna),1562757574,572308,Lil Baby,Drip Too Hard (Lil Baby & Gunna)
XXXTENTACION - Hope,1553648880,873668,XXXTENTACION,Hope
Zedd - The Middle,1552646267,395524,Zedd,The Middle
Post Malone - Psycho,1550940403,256520,Post Malone,Psycho
Travis Scott - BUTTERFLY EFFECT,1536528384,1401524,Travis Scott,BUTTERFLY EFFECT
Dynoro - In My Mind,1517768589,653408,Dynoro,In My Mind
Khalid - Better,1432415388,624634,Khalid,Better
Drake - In My Feelings,1413937172,184683,Drake,In My Feelings
Tyga - Taste,1404190118,402392,Tyga,Taste
XXXTENTACION - changes,1402793622,273181,XXXTENTACION,changes
Lady Gaga - Always Remember Us This Way,1389725865,984050,Lady Gaga,Always Remember Us This Way
Ariana Grande - no tears left to cry,1367457237,267686,Ariana Grande,no tears left to cry
Bad Bunny - MIA,1360946166,293077,Bad Bunny,MIA
Joji - SLOW DANCING IN THE DARK,1357188920,515726,Joji,SLOW DANCING IN THE DARK
Drake - Nice For What,1315016048,273371,Drake,Nice For What
Imagine Dragons - Natural,1300927888,563288,Imagine Dragons,Natural
Calum Scott - Dancing On My Own,1288004577,464251,Calum Scott,Dancing On My Own
Lil Peep - Falling Down,1275687093,1158802,Lil Peep,Falling Down
Meek Mill - Going Bad,1233885073,480375,Meek Mill,Going Bad
Nio Garcia - Te Boté,1208311353,217029,Nio Garcia,Te Boté
Pedro Capó - Calma,1183070937,197977,Pedro Capó,Calma
girl in red - we fell in love in october,1171059602,1669442,girl in red,we fell in love in october
Lil Baby - Yes Indeed,1160226144,354837,Lil Baby,Yes Indeed
Drake - Nonstop,1153979296,296385,Drake,Nonstop
Imagine Dragons - Bad Liar,1118593180,513635,Imagine Dragons,Bad Liar
Kodak Black - ZEZE,1110295043,292690,Kodak Black,ZEZE
Ariana Grande - God is a woman,1098996659,276273,Ariana Grande,God is a woman
YNW Melly - Murder on My Mind,1096993046,317171,YNW Melly,Murder on My Mind
Selena Gomez - Back To You,1096043825,267522,Selena Gomez,Back To You
The Weeknd - I Was Never There,1096004587,755000,The Weeknd,I Was Never There
Calum Scott - You Are The Reason,1094985100,412174,Calum Scott,You Are The Reason
Sheck Wes - Mo Bamba,1094706948,317858,Sheck Wes,Mo Bamba
The Neighbourhood - Softcore,1077593619,1193134,The Neighbourhood,Softcore
Clean Bandit - Solo,1074054691,205849,Clean Bandit,Solo
Bazzi - Mine,1071859244,233172,Bazzi,Mine
Calvin Harris - Promises,1065388908,182297,Calvin Harris,Promises
Dominic Fike - 3 Nights,1064442367,562292,Dominic Fike,3 Nights
Post Malone - Candy Paint,1061081288,206545,Post Malone,Candy Paint
Kina - Get You The Moon,1056688175,254236,Kina,Get You The Moon
Mark Ronson - Nothing Breaks Like a Heart,1009180521,542285,Mark Ronson,Nothing Breaks Like a Heart
"Ariana Grande - break up with your girlfriend, i'm bored",1004583202,242682,Ariana Grande,"break up with your girlfriend, i'm bored"
21 Savage - a lot,998071785,373928,21 Savage,a lot
BlocBoy JB - Look Alive,996567111,116497,BlocBoy JB,Look Alive
XXXTENTACION - the remedy for a broken heart (why am I so in love),990784987,259177,XXXTENTACION,the remedy for a broken heart (why am I so in love)
George Ezra - Shotgun,984721182,383390,George Ezra,Shotgun
Sia - Snowman,983556688,439937,Sia,Snowman
Metro Boomin - Space Cadet,977155035,438426,Metro Boomin,Space Cadet
Maroon 5 - Don't Wanna Know,970154578,177010,Maroon 5,Don't Wanna Know
Bad Bunny - Si Estuviésemos Juntos,969876552,497207,Bad Bunny,Si Estuviésemos Juntos
Paulo Londra - Adan y Eva,961493915,283293,Paulo Londra,Adan y Eva
Khalid - Love Lies,958911512,164647,Khalid,Love Lies
James Arthur - Rewrite The Stars,941713268,588329,James Arthur,Rewrite The Stars
Juice WRLD - Lean Wit Me,929284467,366902,Juice WRLD,Lean Wit Me
Luke Combs - Beautiful Crazy,921883391,614903,Luke Combs,Beautiful Crazy
Shawn Mendes - In My Blood,921238457,168443,Shawn Mendes,In My Blood
Jonas Blue - Rise,892430584,192838,Jonas Blue,Rise
Tiësto - Jackie Chan,889877456,136092,Tiësto,Jackie Chan
Morgan Wallen - Whiskey Glasses,879913536,532168,Morgan Wallen,Whiskey Glasses
Anuel AA - Amanece,879301025,653618,Anuel AA,Amanece
Jeremy Zucker - comethru,853937129,234530,Jeremy Zucker,comethru
BTS - FAKE LOVE,843423181,339854,BTS,FAKE LOVE
Mitski - Washing Machine Heart,837787721,718019,Mitski,Washing Machine Heart
A Boogie Wit da Hoodie - Swervin,831842213,146968,A Boogie Wit da Hoodie,Swervin
Eminem - Venom,826341035,327654,Eminem,Venom
Juice WRLD - Armed And Dangerous,817679509,235293,Juice WRLD,Armed And Dangerous
A Boogie Wit da Hoodie - Look Back at It,813491521,251176,A Boogie Wit da Hoodie,Look Back at It
Anuel AA - Ella Quiere Beber,811753154,230209,Anuel AA,Ella Quiere Beber
